chunk;assetRecord;slot;idHex;textEN;oldTextFR;newTextFR;status;reason
0;168;31;b038745a4af2a71f;Am I getting this straight?;Si je comprends bien...;J'ai bien compris ?;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
16;169;63;0d5317384fa5eeb2;"""More or less?""";Plus ou moins;Plus ou moins ?;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
134;38;8;2ea56c99a9f1ec01;I was almost okay, you know?;J'étais presque bien, hein;J'étais presque bien, hein ?;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
134;130;481;e7e991dde6ec0944;Perhaps it's still trying to tabulate inventory?;Il essaie peut-être encore de faire l'inventaire;Il essaie encore de faire l'inventaire ?;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
58;121;0;67600f0fa8833890;Pretty cool, huh?;Plutôt cool, hein;Cool, hein ?;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
58;121;142;acc9dee5096f3772;Pretty cool, huh?;Plutôt cool, hein;Cool, hein ?;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
58;121;160;a6cbdee5096f3772;Pretty cool, huh?;Plutôt cool, hein;Cool, hein ?;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
45;122;72;085714d2fbe19d7b;Here we go!;C'est parti;On y va !;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
130;160;638;aec52eae316de50b;Ticks inbound!;Ticks arrivent;Ticks en vue !;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
134;153;92;02d185226e414324;Let's see here...page 1138...words...words...;Voyons...page 1138...mots...mots...;Voyons... page 1138... mots... mots...;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
31;118;17;e75b42e307caf3b8;Selects a preset. Exceeding defaults may reduce framerate!;Choisit un préréglage. Plus élevé peut réduire les FPS;Choisit un préréglage. Un réglage élevé réduit les FPS.;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
31;118;95;e2094de959cbafec;Selects a stick-turn mode. Smooth turning may cause discomfort!;Choisit le mode de rotation. Continue peut incommoder;Choisit le mode de rotation. La rotation continue peut gêner.;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
130;131;457;dd5244f6bfd4ec77;The Director received your memorandum regarding the use of asteroids as buffers.;La Directrice a reçu votre mémorandum concernant l'utilisation d'astéroides comme boucliers.;La directrice a reçu votre mémorandum concernant l'utilisation d'astéroides comme boucliers.;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
130;131;508;d35440f1b983e279;The Director wished me to inform you she received your memorandum regarding the use of asteroids as buffers or defense. Observing that the Bio Mass is unable to process or dissolve dead rock was inspired.;La Directrice souhaitait que je vous informe qu'elle a reçu votre mémorandum sur l'utilisation des astéroides comme boucliers ou défenses. Remarquer que la biomasse est incapable d'assimiler ou de dissoudre la roche inerte était inspiré.;La directrice souhaitait que je vous informe qu'elle a reçu votre mémorandum sur l'utilisation des astéroides comme boucliers ou défenses. Remarquer que la biomasse est incapable d'assimiler ou de dissoudre la roche inerte était inspiré.;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
113;107;245;d5a1413b542ed46f;Could that be what caused the accident?;Est-ce ce qui a causé l'accident ?;C'est ce qui a causé l'accident ?;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
45;48;355;24c5d06a5a924962;Perhaps one of the webs can be neutralized with your cloak emitter.;Une toile peut peut-être être neutralisée par votre camouflage.;Votre camouflage peut peut-être neutraliser une toile.;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
45;88;181;8c81ac4e9d34159b;Perhaps one of the other drives might yet be removed.;Un autre propulseur pourrait peut-être être retiré.;On pourrait peut-être retirer un autre propulseur.;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
45;145;300;c3c6b950a58ccbdd;Jack, perhaps the transformer can be disabled with your Faraday Emitter.;Jack, le transformateur peut peut-être être neutralisé avec votre émetteur de Faraday.;Jack, votre émetteur de Faraday pourrait neutraliser le transformateur.;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
113;107;83;438883182c4d21bb;Jack, perhaps the transformer can be disabled with your Faraday Emitter.;Jack, le transformateur peut peut-être être neutralisé avec votre émetteur de Faraday.;Jack, votre émetteur de Faraday pourrait neutraliser le transformateur.;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
80;90;85;8d99e23263c63b46;It's possible the cranes may be of use.;Les grues pourraient peut-être être utiles.;Les grues peuvent peut-être servir.;FINAL_OBJECTIVE_QA_V0.8.58.4.11;CERTAIN_NATURALNESS_OR_GRAMMAR
