chunk;assetRecord;slot;idHex;textEN;oldTextFR;newTextFR;status;reason
0;62;5;fcc3bb5fd46fba06;CLOAK EMITTER;ÉMETTEUR DE CAMOUFLAGE;EMETTEUR DE CAMOUFLAGE;GLYPH_COMPAT_V0.8.58.4.6_FROM_V0.8.58.4.2;OE_GLOBAL+UPPERCASE_ASCII_LABEL
0;62;9;ac91b35cd234be06;SECURITY TERMINAL;TERMINAL DE SÉCURITÉ;TERMINAL DE SECURITE;GLYPH_COMPAT_V0.8.58.4.6_FROM_V0.8.58.4.2;OE_GLOBAL+UPPERCASE_ASCII_LABEL
0;62;13;f9c4b3088034e206;UNKNOWN ROOM;PIÈCE INCONNUE;PIECE INCONNUE;GLYPH_COMPAT_V0.8.58.4.6_FROM_V0.8.58.4.2;OE_GLOBAL+UPPERCASE_ASCII_LABEL
0;62;24;f992ba09d66ee906;DATA PORT (BROKEN);PORT DE DONNÉES (HORS SERVICE);PORT DE DONNEES (HORS SERVICE);GLYPH_COMPAT_V0.8.58.4.6_FROM_V0.8.58.4.2;OE_GLOBAL+UPPERCASE_ASCII_LABEL
0;62;27;aa95bb58d634eb06;DATABASE TERMINAL;TERMINAL DE BASE DE DONNÉES;TERMINAL DE BASE DE DONNEES;GLYPH_COMPAT_V0.8.58.4.6_FROM_V0.8.58.4.2;OE_GLOBAL+UPPERCASE_ASCII_LABEL
0;62;34;fe97e90b8135ee06;BOBBLE HEAD;FIGURINE À TÊTE MOBILE;FIGURINE A TETE MOBILE;GLYPH_COMPAT_V0.8.58.4.6_FROM_V0.8.58.4.2;OE_GLOBAL+UPPERCASE_ASCII_LABEL
0;62;36;aac6eb5ed035ef06;EMITTER SOCKET;PRISE D'ÉMETTEUR;PRISE D'EMETTEUR;GLYPH_COMPAT_V0.8.58.4.6_FROM_V0.8.58.4.2;OE_GLOBAL+UPPERCASE_ASCII_LABEL
0;62;38;ac91bc0a873fef06;SERIES 8 LABOR UNIT;UNITÉ DE TRAVAIL SÉRIE 8;UNITE DE TRAVAIL SERIE 8;GLYPH_COMPAT_V0.8.58.4.6_FROM_V0.8.58.4.2;OE_GLOBAL+UPPERCASE_ASCII_LABEL
0;62;43;afc4bc59d56eb807;HOUSING E5;BOÎTIER E5;BOITIER E5;GLYPH_COMPAT_V0.8.58.4.6_FROM_V0.8.58.4.2;OE_GLOBAL+UPPERCASE_ASCII_LABEL
0;62;48;fb92ef0e8538be07;BIO MASS SAMPLES;ÉCHANTILLONS DE BIOMASSE;ECHANTILLONS DE BIOMASSE;GLYPH_COMPAT_V0.8.58.4.6_FROM_V0.8.58.4.2;OE_GLOBAL+UPPERCASE_ASCII_LABEL
