sourcePath;originalSize;originalSHA256;resultSize;resultSHA256;originalSections;newSectionRVA;newSectionRawOffset;newSectionVirtualSize;newSectionRawSize;translatedRows;identicalRows;xrefCount;patchOperationCount;patchDataOffset;patchDataLength
011c8f7fbaf698ea.dll;30720;f99ddc352b40c42726d7c2f8ac9a37d2dafe15aeb7cfb4ee50e4f7a407f4ceb2;31232;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;30720;74;512;1;0;1;12;0;629
0281952693f7dd49.dll;30720;d1758679ed4e0263190e46af41d9b547cc322b932b2bf46499d5a0a5d762ffd0;31232;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;30720;77;512;1;0;1;12;629;629
04d51e23747b8f44.dll;33280;2a340dd0845466620ab695502a4bb640d49ce42317efbdbd608df3a1e1cab88a;33792;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;33280;44;512;1;0;1;12;1258;629
06560e18e33d88ae.dll;34816;5ca71a0ed81e38da4e85860f1736d15fbdb7d3f5b32b431b51174f50ed11808d;35328;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xD000;34816;85;512;1;0;1;12;1887;629
078b348c6dbf8cdd.dll;71680;7d646bcc9869743978a77ba976a694c3faf3d21164434b7090aafd18eb134a58;72192;500575f94709f517edacdd2831330ffec0c70f0929d83f7d5dc69590e4f8df9d;5;0x15000;71680;34;512;2;0;2;13;2516;641
08f130bb0fbcb87b.dll;31232;a0b43629f8a58655befed22887e5d771b962e9bd0cbd95dace42b45cefa8b0a1;31744;743fd8383d83eb18a0db35a98b54165cd9d27eb4fda875586146236adca685f6;5;0xC000;31232;28;512;1;0;1;12;3157;629
0b095c520a470ae9.dll;80384;64f8f3fcf2c313f134790e0199bc509a60eb71efdcf946fb2a980d27c1cd81e8;80896;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0x17000;80384;291;512;10;0;10;21;3786;720
0b5f1fcaa265a681.dll;120320;5a582b9daea90eeecb549bd5c371580946903e9f6d0efaf03ff9d60a993c2475;120832;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0x21000;120320;268;512;10;0;10;21;4506;732
0cde817011af016d.dll;121344;f75b84db6cd90b71ab0d356ef736581e2718d41e6dfea64475ce4181d0dddf41;121856;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0x21000;121344;242;512;11;0;11;22;5238;742
1212ed14ff4cbabf.dll;398336;67480fc059820b44a6e1d805a544763c35823a300899bb401856b87e0da29634;398848;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0x65000;398336;188;512;7;0;7;18;5980;694
142763e9dd13c64e.dll;30720;358ccc87b80ee55d8ffa6b40888d233d960d110b185585a8945b60f74ee751f2;31232;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;30720;112;512;2;0;2;13;6674;639
18c340f3b4b5aae1.dll;29696;f2fda38ae524ca203338b1f59362cced15c117f399a8db5f5eb0fba78168019f;30208;6e843d7c0dac6d9ae9db03856db986fbe16d20e4db6a53c07f6085d52eb945c4;5;0xC000;29696;46;512;1;0;1;12;7313;629
18c340f3b4b5aae2.dll;30208;f29df4de62c70e4c47a19c5e2b12cf652ddc4ad509d8c7d06323eaf4462d52b6;30720;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;30208;82;512;2;0;2;13;7942;639
18c340f3b4b5aae3.dll;30208;b6247878b9f3ab727ae6156434131632e48d7cba7e3c32ca7f91070e7de2f181;30720;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;30208;55;512;1;0;1;12;8581;629
199afc80ee43e971.dll;29696;63413be64e11acac9141f58e74d4ac4188a97d97d78be37e0e6257740e4ec898;30208;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;29696;52;512;1;0;1;12;9210;629
1a29db6d41e9730c.dll;32768;6040696e6e3298ef5d1c38e70949e5b717a057d51f0b7425192d1b04486872f5;33280;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;32768;47;512;1;0;1;12;9839;629
1ad7a47adb4c1b12.dll;29184;c4e02410d20ce5386361373fc764ebc9541a230b96359c1ab2e51d1cecf8c27f;29696;3159e3e8879d03188c19f1add665f69edfb8ab6f4f981c3d8db2fa3ea414f6a0;5;0xC000;29184;58;512;1;0;1;12;10468;629
1aea4a7703bd113a.dll;29696;da9216fef296deaaada96e0a4a106d578bb543d45acabcccb28a40ae7db89ee1;30208;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;29696;36;512;1;0;1;12;11097;629
1aea4a7703bd113b.dll;29696;8fc3c2a575efecb2c9081894808eb96bde340b51ae9266645fcf9c71c011ce9c;30208;dfe48350e4f90adc2de105f14a2ad6eacaff8c451c7a69389aac7d8770fd1863;5;0xC000;29696;28;512;1;0;1;12;11726;629
1aea4a7703bd113c.dll;30720;26708e000aa004e56bd5a6fde941b542f18cd0052323129a8eec583793b08603;31232;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;30720;50;512;2;0;2;13;12355;639
1aea4a7703bd113d.dll;29696;505923b799838292f73104a20f246985cc30a4a95ee050f63085868fdbdd9798;30208;3e071b042d2ef032e7e893538ca4f104968be99e90e22b39fdd6b7f9ba174697;5;0xC000;29696;35;512;1;0;1;12;12994;629
1aea4a7703bd113f.dll;30208;2ebfce9599e9f22da6860d6c6121e98eb359ccaf38ecaa73c821c4207dfb27d7;30720;5e81067d992924ea4718cf982dc68332c534a8daf10bdc791c436329760603d6;5;0xC000;30208;93;512;2;0;2;13;13623;639
1bc7dec21b395e40.dll;38400;49d9c25a17d681312f3f92545e4b3333162bf1976990312975cac8a9b84ec99a;38912;470d328b840de0c541f7308b886536f9539467269a5e508e4cd9c5fbcefe2c28;5;0xD000;38400;81;512;2;0;2;13;14262;639
1c5a1a4f727ec5e9.dll;110592;d4c032281db3beb7f68afaf7eee9cab61af9ff384cfaf0e6a99954d06ebe083d;111104;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0x1F000;110592;45;512;2;1;2;13;14901;644
1e32dbb49a9d39e0.dll;31232;6b8ad6e6e2deae571856e915fb2e619fc639960dcf1472bf8f4a6bb3fc21aa67;31744;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;31232;49;512;1;0;1;12;15545;629
207b19a3b23856fc.dll;30208;df212815b4d718c486384530d3f879468dd10b3b30d26f2409bf8b37fe7c9b9a;30720;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;30208;70;512;1;0;1;12;16174;629
207b19a3b23856fd.dll;30208;8481d8ffc0d51a83b065d8a5ae78bcee3bf9925e515dba41f194a98e5bf79eb2;30720;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;30208;83;512;1;0;1;12;16803;629
207b19a3b23856ff.dll;30208;70ab29b4beff45f9f2409dfd2cd50ee3d584ae6b408dc767acb8269efb429937;30720;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;30208;75;512;1;0;1;12;17432;629
20c9598d54f5f01d.dll;38400;7da808077bbccaae05838caaba593766182ae4b69775ab77b4fa7018faf6d411;38912;9dd70c0c07eec19cdbe7c0ecdfca69e8f67ee25063e5b249f450e4c9146edade;5;0xD000;38400;82;512;1;0;1;12;18061;629
212b6bc866dd5254.dll;34304;ed3e9db8852d72584af51b96d21b401ad9cb39e3598fd5546d54feb1bf3eafa2;34816;9dd3e939637e1e217a403f1f603210c71b2e620eed78944cae5f2d89ceee93c1;5;0xD000;34304;192;512;1;0;1;12;18690;629
21f274fdaa0147d8.dll;28672;97e4aa3fa465463ed6e871b47f27d327bd051d7064d92d4b166a38ce2e70b3e9;29184;a2920760075001c95762eb19ab89cd43707685a6f975a171fec5b6e4beeb607b;5;0xC000;28672;86;512;1;0;1;12;19319;629
22c3d222966d165b.dll;153088;14b3f7dd9e5eb1d78c1020d8e9574378924da0530fe8e42d2e4a3d4e29c14adf;153600;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0x29000;153088;41;512;2;0;2;13;19948;643
23c67942dba4b1a1.dll;37888;c20a11dcf63676bc021ca412d33889483b36d209902c218eaab77d34324ac901;38400;67dfe87620c88f98882a8cd8cf09a403124f91a6c9ae236ca445b59710af69c6;5;0xD000;37888;20;512;1;0;1;12;20591;629
266889ccad0c8495.dll;30208;227d6ededae53165c7cda2dc2a1f78ad058e3ccf62eab998d9e957415a53732e;30720;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;30208;147;512;2;0;2;13;21220;639
266889ccad0c8496.dll;30208;8fba495d9e442be83d664ae69dbdd5117f9714a0f7b7cf3641dc7128180b5f33;30720;09db8bd20d589e76d003827d147ff3f582e36d803e25e0e42edb9eaf8ec35224;5;0xC000;30208;147;512;2;0;2;13;21859;639
266889ccad0c8497.dll;30208;b34bed02d1b2fd5607b9e028d9a1ceea2a6269396c00f117a7b295543bd8fc2c;30720;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;30208;97;512;2;0;2;13;22498;639
26ba9386ed220003.dll;144384;e941a97e0ef3bbc3f009ed876bb832e25c4b8e9c5e73b402cb064b67ae71bcf6;144896;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0x27000;144384;333;512;12;0;12;23;23137;753
274bac1610feca83.dll;29696;58d01f4a6a2b7a4095582fdfa0c634ac2fdcf7d7849273dbf99a5a318b8e84cc;30208;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;29696;51;512;1;0;1;12;23890;629
2779e9b330ef03c1.dll;77824;320a4686e5249323f2ae5d5a36db30492ea9577038d43b174f4fc94ff5a3d7b6;78336;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0x16000;77824;116;512;4;0;4;15;24519;661
2845e26ae2f548e7.dll;102912;be692a3dfb96c6f701e04d83f41e330bf69df0c99a51259ddc1e02438f9790a4;103424;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0x1D000;102912;35;512;2;0;2;13;25180;641
2a453d2bf94ae748.dll;29696;7009a7b5776f0deb7a7cfe25af03da6d734e125511367f6da0806618c786d0ee;30208;23838d38090cbeab334482d687e032403bd8c6e6e2e0d8c424c89e587c360a67;5;0xC000;29696;40;512;1;0;1;12;25821;629
2ae1ced0e50629a5.dll;30208;8256d229cf77fc1346837d9deeee533a6ff4737652314257389f4311d2974a10;30720;RUNTIME_DETERMINISTIC_V0.8.58.4;5;0xC000;30208;78;512;1;0;1;12;26450;629
2ccce89aeabdd9f1.dll;28672;2cf7dc07140a7931aa60ef6be0e6cce88113c6882d63d6399a276caeb14557f0;29184;d2c6afa3164647649c9c44710c6f3460b9d8d3e7206af6ceda966b88d42eeaad;5;0xC000;28672;62;512;1;0;1;12;27079;629
