"chunk";"assetRecord";"slot";"idHex";"textEN";"oldTextFR";"newTextFR";"englishChars";"oldChars";"newChars";"status"
"0";"62";"116";"aa96b80c866dec08";"I'm ready";"Je suis prêt";"Prêt.";"9";"12";"5";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"62";"139";"ff92bc5e8069bf09";"Where am I?";"Où suis-je ?";"Où suis-je?";"11";"12";"11";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"62";"163";"f8cabc0d8269ef09";"What happened to me?";"Qu'est-ce qui m'est arrivé ?";"Que m'est-il arrivé?";"20";"28";"20";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"62";"193";"fec5eb0bd438ea0a";"What happened?";"Qu'est-ce qui s'est passé ?";"Quoi donc?";"14";"27";"10";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"62";"230";"adc3e908873ce20b";"How long?";"Depuis combien de temps ?";"Combien?";"9";"25";"8";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"62";"371";"f8c6b20b8739e30e";"Kronos II..?";"Kronos II... ?";"Kronos II.?";"12";"14";"11";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"62";"536";"af96bf58d33fed5a";"Liv?";"Liv ?";"Liv?";"4";"5";"4";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"65";"4";"167778271141e523";"Whoa!";"Ouh là !";"Wow!";"5";"8";"4";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"65";"6";"1b202f251241ed24";"I KNOW you're not still throwing things, right Jack?";"Dis-moi que tu ne lances pas encore des objets, Jack.";"Dis-moi que tu lances pas encore des objets, Jack.";"52";"53";"50";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"65";"9";"1572707a4514e526";"Jack, now I KNOW that was on purpose.";"Jack, là je SAIS que tu l'as fait exprès.";"Jack, là je SAIS que c'était voulu.";"37";"41";"35";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"65";"11";"462078271117ec27";"Perhaps you need more calibrations...";"Il te faudrait peut-être encore quelques calibrations...";"Peut-être plus de calibrations...";"37";"56";"33";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"65";"12";"11272d704142e72c";"Are you trying to get my attention, Jack?";"Tu essaies d'attirer mon attention, Jack ?";"Tu essaies d'attirer mon attention, Jack?";"41";"42";"41";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"65";"14";"40702f754d17b62d";"You might accidentally damage something.";"Tu pourrais abîmer quelque chose par accident.";"Tu pourrais casser quelque chose.";"40";"46";"33";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"65";"15";"10262b701242e62d";"You may be malfunctioning.";"Tu as peut-être un dysfonctionnement.";"Tu as peut-être une panne.";"26";"37";"26";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"65";"16";"43242f764342b670";"Do be careful.";"Fais attention.";"Fais attention";"14";"15";"14";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"65";"18";"1b267f20104fe570";"SOMEONE needs to calibrate  his aim!";"QUELQU'UN devrait calibrer sa visée !";"QUELQU'UN devrait calibrer sa visée!";"36";"37";"36";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"65";"19";"102f70741545b671";"I would be more careful.";"À ta place, je ferais plus attention.";"Je serais plus prudent.";"24";"37";"23";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"65";"21";"40737e731746ed71";"Aaand now you're throwing stuff.  What next?";"Et maintenant tu lances des trucs... quoi ensuite ?";"Et maintenant tu lances des trucs. Ensuite?";"44";"51";"43";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"0";"d8606fd55332a810";"Indeed.";"En effet.";"Oui.";"7";"9";"4";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"1";"8d6062800869af10";"Human finger waving is often a sign of disapproval.";"Agiter un doigt est souvent un signe de désapprobation chez les humains.";"Agiter un doigt marque souvent la désapprobation.";"51";"72";"49";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"4";"dd3534d1553df910";"Were we at war?";"Nous étions en guerre ?";"En guerre?";"15";"23";"10";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"8";"d4636385566afd10";"She might take offense.";"Elle pourrait mal le prendre.";"Elle pourrait se vexer.";"23";"29";"23";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"10";"8d3232830733ac11";"It could always be worse.";"Ça pourrait toujours être pire.";"Ça pourrait être pire.";"25";"31";"22";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"11";"d96760d80768ad11";"Okay okay Jack.  Truce.";"D'accord, d'accord, Jack. Trêve.";"Bon, Jack. Trêve.";"23";"32";"17";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"12";"de6767d55433af11";"I surrender!";"Je me rends !";"Je me rends!";"12";"13";"12";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"19";"89626ed50469fd11";"Oh no.";"Oh non.";"Non...";"6";"7";"6";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"23";"dd6861d4073eaf12";"Practicing your aim?";"Tu t'entraînes à viser ?";"Tu t'exerces au tir?";"20";"24";"20";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"25";"8f3033825569f012";"Yes, Jack?";"Oui, Jack ?";"Oui, Jack?";"10";"11";"10";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"26";"89356ed10969f112";"I hope I can change your mind.";"J'espère pouvoir te faire changer d'avis.";"J'espère te convaincre.";"30";"41";"23";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"27";"d43461d9556ef912";"Yes, Echo One?";"Oui, Echo One ?";"Oui, Echo One?";"14";"15";"14";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"28";"db3261d7003afc12";"AH!  You GOT me.";"AH ! Tu m'as eue.";"AH! Tu m'as eue.";"16";"17";"16";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"29";"d53433d7513efe12";"I feel no hostility towards you either.";"Moi non plus, je n'ai aucune hostilité envers toi.";"Moi non plus, je ne t'en veux pas.";"39";"50";"34";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"30";"db6464d05633ff12";"Oooh, someone's feeling a bit sassy today!";"Oooh, quelqu'un est d'humeur insolente aujourd'hui !";"Oooh, quelqu'un est insolent aujourd'hui!";"42";"52";"41";"GLOBAL_DIALOGUE_CHAR_LIMITED"
"0";"158";"31";"886334d50233a815";"Ahh, the old 'one finger salute'.";"Ah, le bon vieux "" salut à un doigt "".";"Ah, le vieux ""doigt d'honneur"".";"33";"38";"31";"GLOBAL_DIALOGUE_CHAR_LIMITED"
