chunk;assetRecord;slot;idHex;textEN;oldTextFR;newTextFR;status;reason
21;150;253;b4a2cd75f6d0d9cc;...but at least it survived long enough to be rescued. Better than most can say...;...mais il a survécu assez pour être sauvé. C’est déjà mieux que beaucoup...;...mais il a survécu assez pour être sauvé. C'est déjà mieux que beaucoup...;UNICODE_SAFE_V0.8.58.4.7;CURLY_APOSTROPHE
21;150;260;b3a5c570f48189cd;"I'd say it got off lucky... I mean, an ""evil meat-prison"" isn't great by any measure...";Il s’en est bien tiré... même si une « prison de viande maléfique » reste affreuse...;Il s'en est bien tiré... même si une « prison de viande maléfique » reste affreuse...;UNICODE_SAFE_V0.8.58.4.7;CURLY_APOSTROPHE
38;30;8;5afd4c56289ef1ea;I just hope he's still online...;Pourvu qu’il soit en ligne...;Pourvu qu'il soit en ligne...;UNICODE_SAFE_V0.8.58.4.7;CURLY_APOSTROPHE
38;30;208;849a3280368dcf1e;Best visit the bridge before getting started, Jack.;Passez d’abord par la passerelle, Jack.;Passez d'abord par la passerelle, Jack.;UNICODE_SAFE_V0.8.58.4.7;CURLY_APOSTROPHE
45;35;35;ffb6a5f89829678b;Like the stasis projectors that we used to levitate the tram back in the HAB.;Comme les projecteurs de stase qui faisaient léviter le tram dans l’Habitat.;Comme les projecteurs de stase qui faisaient léviter le tram dans l'Habitat.;UNICODE_SAFE_V0.8.58.4.7;CURLY_APOSTROPHE
45;35;65;aae0a4fb9978628f;Yes. Surveillance footage. Audio logs. Every interaction the ship has had with the Bio Mass could be stored here -- which is why so much is riding on this.;Oui. Images de surveillance. Journaux audio. Chaque interaction du vaisseau avec la biomasse pourrait être enregistrée ici — c'est pour cela que tant de choses dépendent de ceci.;Oui. Images de surveillance. Journaux audio. Chaque interaction du vaisseau avec la biomasse pourrait être enregistrée ici - c'est pour cela que tant de choses dépendent de ceci.;UNICODE_SAFE_V0.8.58.4.7;EM_DASH
45;35;202;462579efa3ac93cd;But we worked together -- as a team -- and ensured its survival.;Mais nous avons travaillé ensemble — en équipe — et assuré sa survie.;Mais nous avons travaillé ensemble - en équipe - et assuré sa survie.;UNICODE_SAFE_V0.8.58.4.7;EM_DASH
45;35;430;45247cefa3ac93cd;Protecting the Astraea -- whatever its state -- has always been my primary directive, Jack.;Protéger l'Astraea — quel que soit son état — a toujours été ma directive principale, Jack.;Protéger l'Astraea - quel que soit son état - a toujours été ma directive principale, Jack.;UNICODE_SAFE_V0.8.58.4.7;EM_DASH
45;35;560;4f2e7defa3ac93cd;To access the fuel cells, two controls -- each separated by a distance -- will need to be activated at once.;Pour accéder aux piles à combustible, deux commandes — éloignées l'une de l'autre — devront être activées en même temps.;Pour accéder aux piles à combustible, deux commandes - éloignées l'une de l'autre - devront être activées en même temps.;UNICODE_SAFE_V0.8.58.4.7;EM_DASH
45;35;742;4f277fefa3ac93cd;The good news is that we're making some progress toward setting things right again -- the best we can, anyhow.;La bonne nouvelle, c'est que nous progressons pour remettre les choses en ordre — du mieux que nous pouvons, en tout cas.;La bonne nouvelle, c'est que nous progressons pour remettre les choses en ordre - du mieux que nous pouvons, en tout cas.;UNICODE_SAFE_V0.8.58.4.7;EM_DASH
45;35;793;fdb7f0fcca2936d9;No pressure, Jack. Just gotta get Apollo back online -- in a friendly mood, preferably, of course.;Pas de pression, Jack. Il suffit de remettre Apollo en ligne — de préférence de bonne humeur, évidemment.;Pas de pression, Jack. Il suffit de remettre Apollo en ligne - de préférence de bonne humeur, évidemment.;UNICODE_SAFE_V0.8.58.4.7;EM_DASH
45;35;796;fae2f7fccf7e61d9;F.Y.I. -- Incoming.;Pour info — ça arrive.;Pour info - ça arrive.;UNICODE_SAFE_V0.8.58.4.7;EM_DASH
45;35;825;f9e7a3fcc92d6bdb;Oh dear -- incoming.;Oh là là — ça arrive;Oh là là - ça arrive;UNICODE_SAFE_V0.8.58.4.7;EM_DASH
45;145;217;c2c3b850a58ccbdd;A painful reminder that Mother Nature is always running the show -- not us.;Un rappel douloureux que Dame Nature reste toujours aux commandes — pas nous.;Un rappel douloureux que Dame Nature reste toujours aux commandes - pas nous.;UNICODE_SAFE_V0.8.58.4.7;EM_DASH
45;145;544;c7c3be51a58ccbdd;That room the facility's seismic monitoring center -- responsible for tracking any changes in the asteroid's structure.;Cette pièce est le centre de surveillance sismique de l'installation — chargé de suivre les changements dans la structure de l'astéroide.;Cette pièce est le centre de surveillance sismique de l'installation - chargé de suivre les changements dans la structure de l'astéroide.;UNICODE_SAFE_V0.8.58.4.7;EM_DASH
45;145;718;d2edc42b08b4cb20;Correct. Unfortunately, any contained Bio Mass samples in there won't be reachable -- if they're even still contained, that is.;Exact. Hélas les échantillons de biomasse confinés qui s'y trouvent seront inaccessibles — s'ils sont encore confinés, bien sûr;Exact. Hélas les échantillons de biomasse confinés qui s'y trouvent seront inaccessibles - s'ils sont encore confinés, bien sûr;UNICODE_SAFE_V0.8.58.4.7;EM_DASH
45;145;747;d7eeca2159bfce21;It leads to the main storage area. Any Bio Mass samples in there won't be reachable -- if they're even still contained, that is.;Ça mène au stockage principal. Toute biomasse qui s'y trouve sera inaccessible — si elle est encore confinée.;Ça mène au stockage principal. Toute biomasse qui s'y trouve sera inaccessible - si elle est encore confinée.;UNICODE_SAFE_V0.8.58.4.7;EM_DASH
