chunk;assetRecord;slot;idHex;textEN;oldTextFR;newTextFR;status;reason
16;125;9;b568928fdbdb0fb2;What was that?;C'etait quoi?;C'était quoi ?;APPROVED_PROPAGATED;LEGACY_APPROVED_TYPOGRAPHY
16;125;89;51fc98065c97fa1f;What was that?;C'etait quoi?;C'était quoi ?;APPROVED_PROPAGATED;LEGACY_APPROVED_TYPOGRAPHY
16;138;11;7e6b9cad5366850d;There you go.;Et voila.;Et voilà.;APPROVED_PROPAGATED;LEGACY_APPROVED_TYPOGRAPHY
16;138;20;2d3bc9a45262865d;There you go.;Et voila.;Et voilà.;APPROVED_PROPAGATED;LEGACY_APPROVED_TYPOGRAPHY
16;138;31;998e50a02aabf16d;There you go.;Et voila.;Et voilà.;APPROVED_PROPAGATED;LEGACY_APPROVED_TYPOGRAPHY
16;169;179;0d55123b4fa5eeb2;What was that?;C'etait quoi?;C'était quoi ?;APPROVED_PROPAGATED;LEGACY_APPROVED_TYPOGRAPHY
21;77;22;abac640d11ba1313;Jack...?;Jack...?;Jack... ?;APPROVED_PROPAGATED;LEGACY_APPROVED_TYPOGRAPHY
21;77;47;f7ab315a14b2121f;Jack?;Jack?;Jack ?;APPROVED_PROPAGATED;LEGACY_APPROVED_TYPOGRAPHY
25;83;99;015dbd04f216a6e1;After you.;Apres toi.;Après toi.;APPROVED_PROPAGATED;LEGACY_APPROVED_TYPOGRAPHY
26;92;155;facb739c7ada73b0;Yes, of course.;Oui, bien sur.;Oui, bien sûr.;APPROVED_PROPAGATED;LEGACY_APPROVED_TYPOGRAPHY
30;197;18;a361ca7f5fbd8fb2;Everything all right?;Tout va bien?;Tout va bien ?;APPROVED_PROPAGATED;LEGACY_APPROVED_TYPOGRAPHY
31;79;0;4b4e421e5f24958c;CREDITS;CREDITS;Crédits;APPROVED;LEGACY_APPROVED_TYPOGRAPHY
31;79;3;43341ebf2791fe9a;Load Saved Game;CHARGER SAUVEGARDE;Charger sauvegarde;APPROVED;LEGACY_APPROVED_TYPOGRAPHY
31;79;4;86c7d688be6267b6;START;DEMARRER;Démarrer;APPROVED;LEGACY_APPROVED_TYPOGRAPHY
31;79;5;6c5db7f941a2f3c2;LOADING;CHARGEMENT;Chargement;APPROVED;LEGACY_APPROVED_TYPOGRAPHY
