sourcePath;originalSize;originalSHA256;resultSize;resultSHA256;originalSections;newSectionRVA;newSectionRawOffset;newSectionVirtualSize;newSectionRawSize;translatedRows;identicalRows;xrefCount;patchOperationCount;patchDataOffset;patchDataLength
0001cf5152080030.dll;32768;e1f2ccebc1d31d54d61a5c560a3b6747885e2d4258b6b7875c96bb5242e3d297;33280;900b66d2afaff7cc2ff3b4fe1355b4346e52611cf55ec311897239bcb92b8f94;5;0xC000;32768;140;512;4;0;4;15;0;659
001562b639bcb14f.dll;34304;55d9b72b75bf99b009ccfbc81f793ddc2245f146bb17559d049b7447878cc62d;34816;015b2f5c864232f80fd62df7f9f01629b195eac19c6d2cc98bb221b2d7e986be;5;0xD000;34304;56;512;1;0;1;12;659;629
00193a4b6a3356ac.dll;30720;cc83a7fc50ec06b7fbe319d3e05cc7f30ffbe81732e8c1b09556fb324e52800a;31232;30be3a0438ff4cfda7fbd178e345dd72efa2cd1782632cdd2a7f083dca1ef886;5;0xC000;30720;169;512;1;0;1;12;1288;629
001a5dab61c02f0a.dll;30720;c64d8ae798b54072e1922ef21b1c13bfb8d1bab6177e0f2f8d205e1e94897028;31232;490f84035487387dfe507ca95b96f92e225a32bafc2788891b96d52e9593a422;5;0xC000;30720;147;512;2;0;2;13;1917;639
001d5a0ebcf05f7f.dll;34304;056dc9d28ae5616688b3ecc47bd5c4939ba735f4ea9a68409fd7ddb32473d72d;34816;a4eeca27d6ecd20c0b5580f639f9ec5813da1a12985eeced25c9dee5be0b27ac;5;0xD000;34304;63;512;2;0;2;13;2556;639
0020084a7597108d.dll;35328;fad413cb55a84fb3ca2ac0f5be426a4b0a17b47297c8bf8ce0e0ce8b05900270;35840;5e8a5ec63c0dd92e4787e8f7ae6333972beeddaea547792351370d767f295173;5;0xD000;35328;164;512;2;0;2;13;3195;639
0020084a7597108e.dll;36352;2f5a86821f4191ce8086f092abfc0791ea145a2e2001cf65a978ec6167ebbed4;36864;e47cc2375c2d3e5c853bcaa9e63e94e4cb1f2024793f683dcd75436251ae2248;5;0xD000;36352;164;512;3;0;3;14;3834;649
0020084a7597108f.dll;36352;8e1d79cd4dc56f1eeba5eae313b0556eebce6ba8c80bb9d9a4fbac78c7ee131e;36864;c66bf622b5b8bad62a4e34ad865c8a92a14088bd3a6257c0088311fb34b22551;5;0xD000;36352;160;512;3;0;3;14;4483;649
0038db6a71c71626.dll;34304;970206a2d4f9fa634fccdacd9c4e451b335d9ccbed689e952d37f5ebdd70a79f;34816;1789534afc44a138a80956617794300a445f2dc39a82c6ccc823ac9f2efea551;5;0xD000;34304;121;512;2;0;2;13;5132;639
003d866cf9239fcf.dll;37376;4c4bf482e8ceb80d80bb254c416862a47eee33212aea80d07bbfc8e86565f341;38400;f45c4537c9b9258263829c69fdba4c1ea3aa45a722a4b409269b739c701be29c;5;0xD000;37376;751;1024;8;0;8;19;5771;1212
