chunk;assetRecord;slot;idHex;textEN;oldTextFR;newTextFR;englishChars;oldChars;newChars;status;reason
5;159;106;b125ffdd31246807;The deceased occupants may be able to be identified by their Data Ports.;Les occupants décédés peuvent peut-être être identifiés grâce à leurs ports de données.;Les occupants décédés seraient identifiables via leurs ports de données.;72;87;72;NATURAL_RESIDUAL_QA_V0.8.58.4.13;NATURAL_MODAL
16;53;64;769ae55ac8b7dd85;Me?  What did I do?;Moi? J'ai fait quoi;Moi? Qu'ai-je fait?;19;19;19;NATURAL_RESIDUAL_QA_V0.8.58.4.13;RESTORE_QUESTION
16;53;147;14324dd46811e2a2;Me?  What did I do?;Moi? J'ai fait quoi;Moi? Qu'ai-je fait?;19;19;19;NATURAL_RESIDUAL_QA_V0.8.58.4.13;RESTORE_QUESTION
16;53;184;249eee0e9ae782d1;Me?  What did I do?;Moi? J'ai fait quoi;Moi? Qu'ai-je fait?;19;19;19;NATURAL_RESIDUAL_QA_V0.8.58.4.13;RESTORE_QUESTION
45;48;355;24c5d06a5a924962;Perhaps one of the webs can be neutralized with your cloak emitter.;Votre camouflage peut peut-être neutraliser une toile.;Votre camouflage pourrait neutraliser une toile.;67;54;48;NATURAL_RESIDUAL_QA_V0.8.58.4.13;NATURAL_MODAL
45;145;732;86b89b7c59e79921;Jack, the test wing will contain the latest technology developed here. There may be something we can use to bypass that web.;Jack, l'aile d'essais contient les dernières technologies. L'une d'elles peut peut-être contourner cette toile.;Jack, l'aile d'essais contient les dernières technologies. L'une d'elles pourrait contourner cette toile.;124;111;105;NATURAL_RESIDUAL_QA_V0.8.58.4.13;NATURAL_MODAL
45;145;1008;85bc9f2c0abecb74;Yes, Unit...?;Oui, Unité...;Oui, Unité ?;13;13;12;NATURAL_RESIDUAL_QA_V0.8.58.4.13;RESTORE_QUESTION
45;181;13;298191820a881783;Actually, Captain, I think there may be a way for Jack to avoid that possibility.;En fait, Capitaine, Jack peut peut-être éviter ce risque.;En fait, Capitaine, Jack pourrait éviter ce risque.;81;57;51;NATURAL_RESIDUAL_QA_V0.8.58.4.13;NATURAL_MODAL
58;55;40;43d61068a611efc2;Me?  What did I do?;Moi? J'ai fait quoi;Moi? Qu'ai-je fait?;19;19;19;NATURAL_RESIDUAL_QA_V0.8.58.4.13;RESTORE_QUESTION
74;34;82;5959f66c5a96670e;Perhaps there is a way we could signal the Doctor and Captain Rhodes that we are ready to return...;On peut peut-être signaler au docteur et à la capitaine Rhodes que nous sommes prêts à revenir...;On pourrait signaler au docteur et à la capitaine Rhodes que nous sommes prêts à revenir...;99;97;91;NATURAL_RESIDUAL_QA_V0.8.58.4.13;NATURAL_MODAL
80;90;85;8d99e23263c63b46;It's possible the cranes may be of use.;Les grues peuvent peut-être servir.;Les grues pourraient servir.;39;35;28;NATURAL_RESIDUAL_QA_V0.8.58.4.13;NATURAL_MODAL
90;74;42;45b31f074e789417;Jack, we may be able to bypass the security panel in the lobby now.;Jack, on peut peut-être contourner le panneau du hall maintenant.;Jack, on pourrait contourner le panneau du hall maintenant.;67;65;59;NATURAL_RESIDUAL_QA_V0.8.58.4.13;NATURAL_MODAL
130;131;156;d55514adb9d0e425;We need to ascertain local conditions. Perhaps lives may still be saved. Regardless, I must prepare the station for the arrival of the Astraea.;Nous devons déterminer les conditions locales. Certaines vies peuvent peut-être encore être sauvées. Quoi qu'il en soit, je dois préparer la station à l'arrivée de l'Astraea.;Nous devons déterminer les conditions locales. Certaines vies pourraient encore être sauvées. Quoi qu'il en soit, je dois préparer la station à l'arrivée de l'Astraea.;143;174;167;NATURAL_RESIDUAL_QA_V0.8.58.4.13;NATURAL_MODAL
130;131;346;865012a0bb83b574;Yes, Unit...?;Oui, Unité...;Oui, Unité ?;13;13;12;NATURAL_RESIDUAL_QA_V0.8.58.4.13;RESTORE_QUESTION
