chunk;assetRecord;slot;idHex;textEN;oldTextFR;newTextFR;status;reason
0;62;193;fec5eb0bd438ea0a;What happened?;Quoi donc?;Quoi donc ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;62;230;adc3e908873ce20b;How long?;Combien?;Combien ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;65;4;167778271141e523;Whoa!;Wow!;Wow !;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;65;21;40737e731746ed71;Aaand now you're throwing stuff.  What next?;Et maintenant tu lances des trucs. Ensuite?;Et maintenant tu lances des trucs. Ensuite ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;4;dd3534d1553df910;Were we at war?;En guerre?;En guerre ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;30;db6464d05633ff12;Oooh, someone's feeling a bit sassy today!;Oooh, quelqu'un est insolent aujourd'hui!;Oooh, quelqu'un est insolent aujourd'hui !;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;32;d86233d65669a815;Did I do something wrong?;J'ai fait une erreur?;J'ai fait une erreur ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;39;886666800639fc15;What is it Jack?;Quoi, Jack?;Quoi, Jack ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;40;893234d50768fc15;What do you need?;Il te faut quoi?;Il te faut quoi ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;43;d53266d5063dab16;Perhaps you could share it with the Captain?;Peut-être en faire profiter la capitaine?;Peut-être en faire profiter la capitaine ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;49;d56037870833fa16;And now you somehow disapprove of me?!;Et maintenant tu me désapprouves?!;Et maintenant tu me désapprouves ?!;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;53;886035825269a817;Oooh, someone's feeling a bit sassy today!;Oooh, quelqu'un est insolent aujourd'hui!;Oooh, quelqu'un est insolent aujourd'hui !;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;59;d93235d0543ffc17;What's gotten into you today?;Qu'est-ce qui te prend?;Qu'est-ce qui te prend ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;63;db606087036aa840;I hope I haven't done anything to upset you?;J'espère ne pas t'avoir contrarié?;J'espère ne pas t'avoir contrarié ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;100;89326ed9036ef143;Did I do something wrong?;J'ai fait une erreur?;J'ai fait une erreur ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;103;de6562830938fa43;Are you sure you intended that?;C'était voulu, tu es sûr?;C'était voulu, tu es sûr ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;112;da6135d0076aaf44;I take it you are dissatisfied?;Tu es donc mécontent?;Tu es donc mécontent ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;113;8d3037d3543cf844;Is this part of your programming?;Ça fait partie de ton programme?;Ça fait partie de ton programme ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;116;8e3432855433f944;Oooh, someone's feeling a bit sassy today!;Oooh, quelqu'un est insolent aujourd'hui!;Oooh, quelqu'un est insolent aujourd'hui !;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;121;dd3760d8076eff45;What is troubling you, Jack?;Qu'est-ce qui te tracasse?;Qu'est-ce qui te tracasse ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;138;dc6465d00069f947;You don't approve?;Ça te plaît pas?;Ça te plaît pas ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;147;8e3363d7553afa4c;What's wrong, Jack?;Ça va pas, Jack?;Ça va pas, Jack ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;158;156;8d6961d00838fe4d;How can I help?;Je peux aider?;Je peux aider ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;200;6;bd6e71b8a88e4fb7;Do I have something on my face?;J'ai un truc sur le visage?;J'ai un truc sur le visage ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;200;7;b16974bcf8d74fe2;Can I help you?;Je peux aider?;Je peux aider ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
0;200;9;e56570e8a18e47e4;Uhhh can I help you?;Euh, besoin d'aide?;Euh, besoin d'aide ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;3;b578a3f0310ab4f0;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;13;884ecd310a856e39;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;14;d84f96640ad26f39;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;23;da18c46205d4383b;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;29;8a13c46a54876e3b;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;32;dd1cc36302d4323c;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;43;df13916005836e3d;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;47;df1bc76351873d3e;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;54;8718c66150843c66;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;64;da4d926b50d43f67;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;69;8c4ec73206d63d68;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;72;8d13963200d36968;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;77;d81acd3256d36869;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;93;8649c76b02d53e6b;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;95;dc4dc7660486686b;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;106;8e18c53507d16f6c;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;111;8d4d906705d3696d;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;112;861a963550d36b6d;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;115;8848c63557876b6e;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;116;8d1ac53003806e6e;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;123;881bc5300381686f;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;32;124;871ac5630a81686f;Going somewhere?;Tu vas où?;Tu vas où ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;44;1;e18894525eedccc7;Is there nothing we can do?;On peut rien faire alors?;On peut rien faire alors ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;44;35;e48e94525eedccc7;It's a distress call from Earth?;Un appel de détresse de Terre?;Un appel de détresse de Terre ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;53;8;73c8e00bcae28081;What is it Jack?;Quoi, Jack?;Quoi, Jack ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;53;9;2196e1089db18281;Oooh, someone's feeling a bit sassy today!;Oooh, quelqu'un est insolent aujourd'hui!;Oooh, quelqu'un est insolent aujourd'hui !;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;53;34;739ce05f9bb38183;What's gotten into you today?;Qu'est-ce qui te prend?;Qu'est-ce qui te prend ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;53;35;7a9db30fc8e68583;Well hello!;Eh, salut!;Eh, salut !;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;53;38;21caee5dc9b4d083;What's gotten into you today?;Qu'est-ce qui te prend?;Qu'est-ce qui te prend ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;53;57;279ce70995b08785;Talk later, Jack.;On parle plus tard, Jack.;Plus tard, Jack.;QA_RECOVERY_CERTAIN_V0.8.58.4.5;USER_LOCKED
16;53;67;709aef0ccdb58686;Well hello!;Eh, salut!;Eh, salut !;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;53;72;70cfe05dcfb5d286;And now you somehow disapprove of me?!;Et maintenant tu me désapprouves?!;Et maintenant tu me désapprouves ?!;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;53;85;7a9ae4079dbd8287;And now you somehow disapprove of me?!;Et maintenant tu me désapprouves?!;Et maintenant tu me désapprouves ?!;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;53;111;24ccb20ac8b38289;What is it Jack?;Quoi, Jack?;Quoi, Jack ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;53;114;23cae55a9de78789;Oooh, someone's feeling a bit sassy today!;Oooh, quelqu'un est insolent aujourd'hui!;Oooh, quelqu'un est insolent aujourd'hui !;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
16;53;124;11304dd46811e2a2;What is it Jack?;Quoi, Jack?;Quoi, Jack ?;QA_RECOVERY_CERTAIN_V0.8.58.4.5;TYPO_SAFE
