chunk;assetRecord;slot;idHex;textEN;oldTextFR;newTextFR;status;reason
58;117;0;8215e747d9d59784;PRIMARY BOOSTERS;Propulseurs principaux;PRIMARY BOOSTERS;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;1;4687e39a9eb3d68f;MANEUVERING THRUSTERS;Propulseurs de manoeuvre;MANEUVERING THRUSTERS;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;2;9a93583b1afcfba7;MODULE M-116;Module M-116;MODULE M-116;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;3;56b775650aa24ca8;MANUAL DEXTERITY;Dextérité manuelle;MANUAL DEXTERITY;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;4;c08b36cb304a1bac;BASIC MOTOR FUNCTIONS;Motricité de base;BASIC MOTOR FUNCTIONS;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;5;a8e0544cab0585c0;MODULE M-201;Module M-201;MODULE M-201;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;6;4ab9bd88d9432edb;MODULE M-101;Module M-101;MODULE M-101;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;7;b066eb30682ce9e3;BRAKING THRUSTERS;Rétropropulseurs;BRAKING THRUSTERS;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;8;7c42c66e78725eec;MODULE D-221;Module D-221;MODULE D-221;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;9;acf1c96bcf5c1d21;MODULE C-111;Module C-111;MODULE C-111;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;10;0ccd00cc01029d2b;DATA INTERFACES;Interfaces de données;DATA INTERFACES;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;11;26c3422826552856;COMMUNICATIONS;Communications;COMMUNICATIONS;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;12;86ff8b8fe80ba85c;MODULE J-101;Module J-101;MODULE J-101;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
58;117;13;30745824ed92af62;MODULE M-205;Module M-205;MODULE M-205;ENGLISH_TITLE_LOCKED;USER_REQUEST_ENGLISH_TITLE_FITS_ORIGINAL_UI
