chunk;assetRecord;slot;idHex;textEN;oldTextFR;newTextFR;status;reason
0;62;30;a297b209d038ed06;"""JACK"" HUSK";"CARCASSE DE "" JACK """;"CARCASSE DE ""JACK""";QUOTE_TITLE_QA_V0.8.58.4.9;ASCII_QUOTE_INNER_SPACE
0;168;58;b43b745a4af2a71f;"Definitely not ""ground zero."" There are actual spatial coordinates.";"Certainement pas "" l'épicentre "". Il existe de vraies coordonnées spatiales.";"Certainement pas ""l'épicentre"". Il existe de vraies coordonnées spatiales.";QUOTE_TITLE_QA_V0.8.58.4.9;ASCII_QUOTE_INNER_SPACE
5;159;50;bd26addd31746703;Atlas protocol dictates we must perform a threat assessment of the hostile 'Torpedo' devices.;"Le protocole Atlas exige une évaluation de la menace que représentent les dispositifs hostiles "" Torpille "".";"Le protocole Atlas exige une évaluation de la menace que représentent les dispositifs hostiles ""Torpille"".";QUOTE_TITLE_QA_V0.8.58.4.9;ASCII_QUOTE_INNER_SPACE
5;159;141;037b5ed24c089c32;Enter a Fabricator and use the 'Reprint' button (on your wrist) to install the improvement to your Cutter;"Entrer dans un fabricateur et utiliser "" Réimprimer "" au poignet pour installer l'amélioration du découpeur";"Entrer dans un fabricateur et utiliser ""Réimprimer"" au poignet pour installer l'amélioration du découpeur";QUOTE_TITLE_QA_V0.8.58.4.9;ASCII_QUOTE_INNER_SPACE
5;159;157;ec24ac8e61773752;Deliver the 'Cure Bomb';"Livrer la "" bombe-curative """;"Livrer la ""bombe-curative""";QUOTE_TITLE_QA_V0.8.58.4.9;ASCII_QUOTE_INNER_SPACE
5;159;267;0547a1645ed58264;Four 'Stasis Projector' devices must be activated around the Tram.;"Quatre "" projecteurs de stase "" doivent être activés autour du tram.";"Quatre ""projecteurs de stase"" doivent être activés autour du tram.";QUOTE_TITLE_QA_V0.8.58.4.9;ASCII_QUOTE_INNER_SPACE
16;44;12;e58994525eedccc7;There... 'low power' mode will take effect as soon as you enter your construct.;"Voilà... le mode "" basse consommation "" s'activera dès que vous intégrerez votre châssis.";"Voilà... le mode ""basse consommation"" s'activera dès que vous intégrerez votre châssis.";QUOTE_TITLE_QA_V0.8.58.4.9;ASCII_QUOTE_INNER_SPACE
16;44;20;e58a94525eedccc7;To compencate, we'll need to enter a 'low power' mode. This will severely limit my capabilities, but I should still be able to monitor our immediate surroundings, should danger arise.;"Pour compenser, nous allons devoir passer en mode "" basse consommation "". Mes capacités seront fortement limitées, mais je devrais toujours pouvoir surveiller les environs immédiats en cas de danger.";"Pour compenser, nous allons devoir passer en mode ""basse consommation"". Mes capacités seront fortement limitées, mais je devrais toujours pouvoir surveiller les environs immédiats en cas de danger.";QUOTE_TITLE_QA_V0.8.58.4.9;ASCII_QUOTE_INNER_SPACE
16;44;44;e58f94525eedccc7;What qualifies as... 'nonessential?';"Qu'est-ce qui est considéré comme... "" non essentiel "" ?";"Qu'est-ce qui est considéré comme... ""non essentiel"" ?";QUOTE_TITLE_QA_V0.8.58.4.9;ASCII_QUOTE_INNER_SPACE
16;44;46;e78f94525eedccc7;There... 'low power' mode will take effect as soon as you shut down.;"Voilà... le mode "" basse consommation "" s'activera dès votre prochain arrêt.";"Voilà... le mode ""basse consommation"" s'activera dès votre prochain arrêt.";QUOTE_TITLE_QA_V0.8.58.4.9;ASCII_QUOTE_INNER_SPACE
