"chunk";"assetRecord";"slot";"idHex";"textEN";"oldTextFR";"newTextFR";"englishChars";"oldChars";"newChars";"status"
"134";"40";"0";"a02805dbfa30c8d6";"Please comment on the salvage bot to continue.";"Veuillez commenter le robot de récupération pour continuer.";"Commentez le robot récupérateur.";"46";"59";"32";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"1";"a12805dbfa30c8d6";"Speak to me when you are ready to proceed.";"Parlez-moi lorsque vous serez prêt à continuer.";"Parlez-moi dès que vous êtes prêt.";"42";"47";"34";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"2";"a22805dbfa30c8d6";"Please press and hold the dialogue button to proceed.";"Veuillez maintenir le bouton de dialogue enfoncé pour continuer.";"Maintenez le bouton de dialogue pour continuer.";"53";"64";"47";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"3";"a32805dbfa30c8d6";"Please speak to the labor unit to continue.";"Veuillez parler à l'unité de travail pour continuer.";"Parlez à l'unité de travail pour avancer.";"43";"52";"41";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"5";"a52805dbfa30c8d6";"Noted.";"C'est noté.";"Noté.";"6";"11";"5";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"6";"a62805dbfa30c8d6";"Please open the reply menu and select a response.";"Veuillez ouvrir le menu de réponse et sélectionner une réponse.";"Ouvrez les réponses et faites un choix.";"49";"63";"39";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"7";"a72805dbfa30c8d6";"Please comment on the fury transport model and speak to the labor unit to continue.";"Veuillez commenter la maquette du transport Fury et parler à l'unité de travail pour continuer.";"Commentez la maquette Fury, puis parlez à l'unité.";"83";"95";"50";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"8";"ac2805dbfa30c8d6";"Now, continue holding down the dialogue button, and use your finger to select a reply.";"Maintenez maintenant le bouton de dialogue enfoncé et utilisez votre doigt pour sélectionner une réponse.";"Gardez le bouton de dialogue enfoncé, puis choisissez du doigt.";"86";"105";"63";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"9";"ad2805dbfa30c8d6";"Labor unit, what is your primary directive?";"Unité de travail, quelle est votre directive principale ?";"Unité, votre mission principale ?";"43";"57";"33";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"10";"a02905dbfa30c8d6";"Vocal selection confirmed.";"Sélection vocale confirmée.";"Choix vocal confirmé.";"26";"27";"21";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"13";"a42905dbfa30c8d6";"Are you ready to leave the module?";"Êtes-vous prêt à quitter le module ?";"Prêt à quitter le module ?";"34";"36";"26";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"15";"a62905dbfa30c8d6";"Continuing calibration.";"Poursuite de l'étalonnage.";"Étalonnage en cours.";"23";"26";"20";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"17";"a02c05dbfa30c8d6";"We will now calibrate your communications system.";"Nous allons maintenant étalonner votre système de communication.";"Étalonnons votre système de communication.";"49";"64";"42";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"18";"a12c05dbfa30c8d6";"Often, you will have a limited time to reply.";"Souvent, vous disposerez d'un temps limité pour répondre.";"Vous aurez peu de temps pour répondre.";"45";"57";"38";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"19";"a22c05dbfa30c8d6";"In these cases, silence is also a valid option.";"Dans ces cas, le silence est également une option valide.";"Dans ce cas, le silence est aussi valable.";"47";"57";"42";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"21";"a52c05dbfa30c8d6";"When someone speaks to you, a reply notification may appear above your wrist.";"Lorsque quelqu'un vous parle, une notification de réponse peut apparaître au-dessus de votre poignet.";"Quand on vous parle, un avis peut s'afficher au-dessus du poignet.";"77";"101";"66";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"22";"a62c05dbfa30c8d6";"You may then respond by holding down the dialogue button on either hand and selecting a reply with your index finger.";"Vous pouvez alors répondre en maintenant le bouton de dialogue d'une main ou de l'autre et en sélectionnant une réponse avec votre index.";"Répondez en maintenant le bouton de dialogue, puis choisissez avec l'index.";"117";"137";"75";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"23";"a72c05dbfa30c8d6";"Hold down the dialogue button now.";"Maintenez maintenant le bouton de dialogue enfoncé.";"Maintenez le bouton de dialogue.";"34";"51";"32";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"24";"ac2c05dbfa30c8d6";"How long do I have to reply?";"Combien de temps ai-je pour répondre ?";"J'ai combien de temps ?";"28";"38";"23";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"25";"ad2c05dbfa30c8d6";"Most of the time, you will have ten seconds to reply, but this time may vary under special circumstances.";"La plupart du temps, vous aurez dix secondes pour répondre, mais cette durée peut varier dans certaines circonstances.";"Vous aurez souvent dix secondes, sauf circonstances particulières.";"105";"118";"66";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"26";"a02d05dbfa30c8d6";"Input confirmed.";"Entrée confirmée.";"Saisie validée.";"16";"17";"15";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"31";"ac2d05dbfa30c8d6";"No response registered. Continuing calibration.";"Aucune réponse enregistrée. Poursuite de l'étalonnage.";"Aucune réponse. Étalonnage poursuivi.";"47";"54";"37";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"32";"ad2d05dbfa30c8d6";"I am ready to proceed.";"Je suis prêt à continuer.";"Je suis prêt.";"22";"25";"13";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"34";"a12e05dbfa30c8d6";"Communications system fully calibrated.";"Système de communication entièrement étalonné.";"Communications bien étalonnées.";"39";"46";"31";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"37";"a62e05dbfa30c8d6";"To assure the safety and well-being of habitat personnel.";"Assurer la sécurité et le bien-être du personnel de l'Habitat.";"Protéger le personnel de l'Habitat.";"57";"62";"35";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"38";"a72e05dbfa30c8d6";"What is your secondary directive?";"Quelle est votre directive secondaire ?";"Votre mission secondaire ?";"33";"39";"26";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"41";"a02f05dbfa30c8d6";"When you're ready, speak about the fury transport model in this room, and start a conversation with the labor unit.";"Lorsque vous serez prêt, parlez de la maquette du transport Fury dans cette pièce et engagez une conversation avec l'unité de travail.";"Une fois prêt, parlez de la maquette Fury et à l'unité de travail.";"115";"134";"66";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"42";"a12f05dbfa30c8d6";"I am not ready to leave yet.";"Je ne suis pas encore prêt à partir.";"Je ne pars pas encore.";"28";"36";"22";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"43";"a22f05dbfa30c8d6";"Pausing calibrations.";"Mise en pause de l'étalonnage.";"Étalonnage en pause.";"21";"30";"20";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"44";"a32f05dbfa30c8d6";"A model salvage unit of some kind.";"Une sorte de maquette d'unité de récupération.";"Maquette d'un robot récupérateur.";"34";"46";"33";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"45";"a42f05dbfa30c8d6";"Please speak to me again when you are ready to continue.";"Parlez-moi de nouveau lorsque vous serez prêt à continuer.";"Reparlez-moi quand vous voudrez continuer.";"56";"58";"42";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"46";"a52f05dbfa30c8d6";"You can also initiate conversations at points of interest throughout your environment.";"Vous pouvez également engager des conversations à différents points d'intérêt de votre environnement.";"Vous pouvez aussi dialoguer aux points d'intérêt autour de vous.";"86";"101";"64";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"48";"a72f05dbfa30c8d6";"You may then hold down the dialogue button and select an option, just like a reply.";"Vous pourrez alors maintenir le bouton de dialogue enfoncé et sélectionner une option, comme pour une réponse.";"Maintenez le bouton de dialogue et choisissez comme pour une réponse.";"83";"110";"69";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"49";"ac2f05dbfa30c8d6";"It appears to be configured for deep-space retrieval.";"Il semble configuré pour la récupération en espace profond.";"Il semble conçu pour récupérer en espace lointain.";"53";"59";"50";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"50";"ad2f05dbfa30c8d6";"Multiple salvage bots service this habitat.";"Plusieurs robots de récupération entretiennent cet Habitat.";"Plusieurs robots entretiennent cet Habitat.";"43";"59";"43";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"51";"cabdf76d7d890b20";"I request that you do not.";"Je vous demande de ne pas le faire.";"Veuillez vous en abstenir.";"26";"35";"26";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"53";"cee8f56c7bdf5920";"Captain Rhodes has suggested I engage in a similar practice.";"La capitaine Rhodes m'a suggéré d'adopter une pratique similaire.";"La capitaine Rhodes m'a conseillé d'en faire autant.";"60";"65";"52";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"54";"9dbef73e7adf0c21";"Their directive was ""to assure the safety and well-being of Kronos II station personnel.""";"Leur directive était "" d'assurer la sécurité et le bien-être du personnel de la station Kronos II "".";"Leur mission était de protéger le personnel de Kronos II.";"89";"100";"57";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"55";"cfbef66e7edc5f21";"Oh?";"Oh ?";"Oh?";"3";"4";"3";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"56";"c9bbf33c7e800328";"In some regards.";"À certains égards.";"En partie.";"16";"18";"10";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"57";"9de9a53c7f8c0a28";"None-the-less, we will consider that to have been a conversation.";"Néanmoins, nous considérerons qu'il s'agissait d'une conversation.";"Nous dirons tout de même que c'était une conversation.";"65";"66";"54";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"60";"c8ebf46c778c0329";"Aboard the Kronos II orbital mining platform.";"À bord de la plateforme minière orbitale Kronos II.";"À bord de la station minière Kronos II.";"45";"51";"39";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"62";"cdbaf43d77dc5d29";"Additionally, if they are a suitable for dialogue, their name will appear in blue and feature a speech-bubble icon.";"De plus, s'ils peuvent faire l'objet d'un dialogue, leur nom apparaîtra en bleu avec une icône de bulle de dialogue.";"Si vous pouvez dialoguer avec eux, leur nom sera bleu avec une icône de bulle.";"115";"116";"78";"COMMUNICATION_CHAR_LIMITED"
"134";"40";"64";"9beff43a7bdc0d2a";"Apologies.";"Toutes mes excuses.";"Pardon.";"10";"19";"7";"COMMUNICATION_CHAR_LIMITED"
