chunk;assetRecord;slot;idHex;textEN;oldTextFR;newTextFR;status;reason;englishChars;oldChars;newChars
16;169;181;0d57123b4fa5eeb2;"""Uh-Oh?"" What do you mean ""uh-oh?""";"""Oh-oh""? Comment ça, ""oh-oh""?";"""Oh-oh"" ? Comment ça, ""oh-oh"" ?";PUNCT_GRAMMAR_QA_V0.8.58.4.10;SAFE_FRENCH_PUNCT_SPACE;34;29;31
21;152;10;af1d63439235e6a8;Dr. Harlan, there is a photograph in your quarters depicting you and... [the Research Director];Dr Harlan, il y a dans vos quartiers une photo de vous avec. [la Directrice de recherche];Dr Harlan, il y a dans vos quartiers une photo de vous avec... [la directrice de recherche];PUNCT_GRAMMAR_QA_V0.8.58.4.10;RUNNING_TITLE_LOWERCASE_DIRECTRICE;95;89;91
21;152;15;fa4863419061e9a8;My intention was to discern if there was a way I could provide... support. I understand that re-engaging with the loss...(of director);Je voulais voir si je pouvais vous apporter... du soutien. Je comprends que raviver cette perte... de la Directrice;Je voulais voir si je pouvais vous apporter... du soutien. Je comprends que raviver cette perte... de la directrice;PUNCT_GRAMMAR_QA_V0.8.58.4.10;RUNNING_TITLE_LOWERCASE_DIRECTRICE;134;115;115
21;152;69;ac476f139c6eeaab;My intention was to discern if there was a way I could provide... support. I understand that re-engaging with the loss...(of director);Je voulais voir si je pouvais vous apporter... du soutien. Je comprends que raviver cette perte... de la Directrice;Je voulais voir si je pouvais vous apporter... du soutien. Je comprends que raviver cette perte... de la directrice;PUNCT_GRAMMAR_QA_V0.8.58.4.10;RUNNING_TITLE_LOWERCASE_DIRECTRICE;134;115;115
21;152;166;a94d3442c161e8f2;My intention was to discern if there was a way I could provide... support. I understand that re-engaging with the loss...(of director);Je voulais voir si je pouvais vous apporter... du soutien. Je comprends que raviver cette perte... de la Directrice;Je voulais voir si je pouvais vous apporter... du soutien. Je comprends que raviver cette perte... de la directrice;PUNCT_GRAMMAR_QA_V0.8.58.4.10;RUNNING_TITLE_LOWERCASE_DIRECTRICE;134;115;115
38;142;38;ca86ecfdc9fa8af4;Holy sh--!;Putain--!;Putain-- !;PUNCT_GRAMMAR_QA_V0.8.58.4.10;SAFE_FRENCH_PUNCT_SPACE;10;9;10
38;142;62;c281effdc9fa8af4;"Sign above the door says, ""To Tram."" That's where we're headed.";Le panneau dit «Vers le tram». C'est là qu'on va.;Le panneau dit « Vers le tram ». C'est là qu'on va.;PUNCT_GRAMMAR_QA_V0.8.58.4.10;FRENCH_GUILLEMET_SPACING;63;49;51
45;35;39;fde4f5ad9b29378c;"Apollo, search your memory for my identifier: ""Echo-1.""";Apollo, cherche mon identifiant en mémoire : «Echo-1».;Apollo, cherche mon identifiant : « Echo-1 ».;PUNCT_GRAMMAR_QA_V0.8.58.4.10;FRENCH_GUILLEMET_SPACING;55;54;45
51;111;38;3a61ca50feaf7024;"Not to worry. I've got a ""friend"" looking out for a spare emitter.";Pas d'inquiétude. Un «ami» cherche un émetteur de secours.;Pas d'inquiétude. Un « ami » cherche un émetteur de secours.;PUNCT_GRAMMAR_QA_V0.8.58.4.10;FRENCH_GUILLEMET_SPACING;66;58;60
51;111;39;3b61ca50feaf7024;"Not to worry. I've got a ""friend"" out looking for a replacement.";Pas d'inquiétude. Un «ami» cherche une pièce de rechange.;Pas d'inquiétude. Un « ami » cherche une pièce de rechange.;PUNCT_GRAMMAR_QA_V0.8.58.4.10;FRENCH_GUILLEMET_SPACING;64;57;59
51;111;82;3266ca50feaf7024;"A ""friend?""";"Un ""ami""?";"Un ""ami"" ?";PUNCT_GRAMMAR_QA_V0.8.58.4.10;SAFE_FRENCH_PUNCT_SPACE;11;9;10
53;132;723;b09a76390ebdeb3b;"""Lets shove Jack in an anomaly and hope it all works out.""";«Jetons Jack dans l'anomalie et croisons les doigts.»;« Jetons Jack dans l'anomalie et croisons les doigts. »;PUNCT_GRAMMAR_QA_V0.8.58.4.10;FRENCH_GUILLEMET_SPACING;58;53;55
53;132;826;b3c2766809bfb83f;"""Lets shove Jack in an anomaly and hope it all works out.""";«Jetons Jack dans l'anomalie et croisons les doigts.»;« Jetons Jack dans l'anomalie et croisons les doigts. »;PUNCT_GRAMMAR_QA_V0.8.58.4.10;FRENCH_GUILLEMET_SPACING;58;53;55
53;132;892;b79a266d0bbbb86a;"""Lets shove Jack in an anomaly and hope it all works out.""";«Jetons Jack dans l'anomalie et croisons les doigts.»;« Jetons Jack dans l'anomalie et croisons les doigts. »;PUNCT_GRAMMAR_QA_V0.8.58.4.10;FRENCH_GUILLEMET_SPACING;58;53;55
53;132;999;b49620330de8e86d;"""Lets shove Jack in an anomaly and hope it all works out.""";«Jetons Jack dans l'anomalie et croisons les doigts.»;« Jetons Jack dans l'anomalie et croisons les doigts. »;PUNCT_GRAMMAR_QA_V0.8.58.4.10;FRENCH_GUILLEMET_SPACING;58;53;55
53;164;35;07f140e922f7473d;Lets go see what 'improvements' Juno had in mind for you.;Voyons les «améliorations» prévues par Juno pour toi.;Voyons les « améliorations » prévues par Juno pour toi.;PUNCT_GRAMMAR_QA_V0.8.58.4.10;FRENCH_GUILLEMET_SPACING;57;53;55
53;164;175;06fb43e922f7473d;"I'm sorry, who is ""Jack?""";"Désolé, qui est ""Jack""?";"Désolé, qui est ""Jack"" ?";PUNCT_GRAMMAR_QA_V0.8.58.4.10;SAFE_FRENCH_PUNCT_SPACE;25;23;24
58;55;190;fe775e6e38850372;Perhaps I need to update my 'non-verbal-communication protocols'...;Je dois peut-être revoir mes «protocoles non verbaux»...;Je dois peut-être revoir mes « protocoles non verbaux »...;PUNCT_GRAMMAR_QA_V0.8.58.4.10;FRENCH_GUILLEMET_SPACING;67;56;58
